"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"VaR_p10_prct_IESO",-0.688951109334139,-0.136951867683182,-0.0314222660481156,-0.0466780044794155,0.0610609007546576,0.265865905950701
"VaR_p10_prct_HydroQC",-0.321119059149256,0.0576852549238174,0.103567541098,0.0964186435014699,0.141417279627578,0.25858011142267
"VaR_p10_prct_NYISO",-3.86713676116577,-1.55723751946116,-1.23655936668448,-1.2985734356336,-0.964129923535974,-0.253462146769095
"VaR_p10_prct_ISONE",-5.10547309670148,-2.11168344832926,-1.66782029131111,-1.78063036176694,-1.34922411896221,-0.528707982891972
"VaR_p10_prct_total",-0.036484439084421,-0.0143462953747482,-0.012722527442839,-0.0129818225845908,-0.0112770659975054,-0.00652438044906777
"VaR_p5_prct_IESO",-0.703198617534327,-0.143932101616641,-0.0379471401195836,-0.0535083256798507,0.0544619457848479,0.258288520498554
"VaR_p5_prct_HydroQC",-0.331142552691591,0.0522605260233049,0.0985853450657254,0.0910371745673917,0.136644137863953,0.254525048108532
"VaR_p5_prct_NYISO",-3.89602468857243,-1.56967655206359,-1.24859328944409,-1.31009094004163,-0.974805356849337,-0.264036675684358
"VaR_p5_prct_ISONE",-5.12789369913767,-2.13017611488668,-1.68510208879205,-1.79841680071516,-1.36533470988347,-0.548499067701801
"VaR_p5_prct_total",-0.0489846898906951,-0.0185713176670748,-0.016470234514781,-0.0168230548200832,-0.0146255066084066,-0.00905744843925032
"ES_p10_prct_IESO",-0.705112467450647,-0.146299080452255,-0.0404803301106864,-0.0558909535593056,0.0522232473751672,0.257194750564763
"ES_p10_prct_HydroQC",-0.339320528352172,0.0504425404280627,0.096784611046815,0.0891694855619978,0.135005779480768,0.252061302325657
"ES_p10_prct_NYISO",-3.90374063293941,-1.57375057080025,-1.25271714777451,-1.31411701933054,-0.978576813075913,-0.263399182469266
"ES_p10_prct_ISONE",-5.13965297389614,-2.13673072024691,-1.69096064203317,-1.8045752419328,-1.37079571430109,-0.547554806385836
"ES_p10_prct_total",-0.0509420581242475,-0.0201938207239846,-0.0179779298647417,-0.0183407645500918,-0.0160003051943257,-0.0102660143937495
"ES_p5_prct_IESO",-0.714171491713634,-0.152308663077062,-0.0461098743237709,-0.0616774097808827,0.0467749861385098,0.251724315638294
"ES_p5_prct_HydroQC",-0.35167844151938,0.0456848426362453,0.0925544538394303,0.0846120217875346,0.130818538185955,0.248065811533892
"ES_p5_prct_NYISO",-3.92330478642158,-1.58435667179599,-1.26274962018584,-1.32389229189852,-0.987347413931517,-0.268693186221809
"ES_p5_prct_ISONE",-5.16100803829386,-2.15323855780634,-1.70545737601978,-1.81960415380197,-1.38483280642232,-0.558680498747284
"ES_p5_prct_total",-0.0595135998171137,-0.0240511105336196,-0.0213451997689998,-0.0217898003511435,-0.0189243214491835,-0.0113512812972749
